,label,url,date,domain,number_of_tweets,title,content,meta_description
670710,1,http://www.naturalnews.com/2017-09-27-artificial-sweeteners-raise-the-risk-of-type-2-diabetes-new-study-confirms.html?utm_referrer=https%3A%2F%2Fzen.yandex.com,2017-09-27T09:24:18.000Z,naturalnews.com,37,artificial sweeteners raise risk of type-2 diabetes new study confirms.,natural news results of small study concluded that habitual use of artificial sweeteners can dampen bodys response to glucose. researchers saw that change led to impaired absorption of nutrition which increased participants risk of developing type-2 diabetes. damning though this may be for healthy adults wanting to keep their blood sugar levels in check these findings bring whole wave of worry for diabetic patients looking for sugar substitute. this study supports concept that artificial sweeteners could reduce bodys control of blood sugar levels in high habitual nas non caloric artificial sweeteners users which could predispose them to develop type-2 diabetes authors stated in their yet to be published study. team hailing from university of adelaide presented their findings at european association for study of diabetes in lisbon portugal and found that their conclusions were not readily accepted by their contemporaries. some experts agreed that while this new research is in line with previous studies data collected was too small to make any sort of valid assumption on relationship between artificial sweeteners and diabetes risk. these critics argue that type-2 diabetes is complex condition resulting from variety of factors of which artificial sweeteners if at all play small role. they further state that metabolic condition is not even fully understood yet so isolating any one factor as risk would be conceivably premature. even so those who support this new study say that removing or at least limiting artificial sweetener use could be part of diabetics management plan involving healthy diet. other studies have concluded that using artificial sweeteners increased weight gain dangerous factor and effect of diabetes. cutting artificial sweeteners could help patients manage their weight better which could potentially improve their diabetic condition. mother nature 's micronutrient secret organic broccoli sprout capsules now available delivering 280 mg of high density nutrition including extraordinary sulforaphane and glucosinolate nutrients found only in cruciferous healing foods. every lot laboratory tested. see availability here. diabetes uk one of leading charities focused on diabetes education and management remains cautious about these findings stating consuming lots of sugary foods and drinks is very damaging to overall health and can increase risk of type-2 diabetes. we would advise people to reduce their intakes of sugar and artificial sweeteners could be option to help some people achieve this. imprisoned by our own stubbornness sugar free but at what cost. name itself should give you idea to how healthy artificial sweeteners really are. so many people assume that they re being good by drinking diet sodas or piling their cereal bowls with these sugar substitutes but are we merely replacing one vice with another. artificial sweeteners mimic flavor of sugar but have little to no nutritional value. some varieties have even been shown to be toxic in long run. there are five most common types of artificial sweeteners approved for consumer use. these are saccharin neotame aspartame sucralose and acesulfame potassium. of these aspartame and sucralose are most prevalent and sadly most dangerous. medical reviews on long term toxicity of these food items have only been made recently with fda still insisting that these studies are unnecessary. as such there is no data yet on how much or severely artificial sweeteners impact overall health. wellness experts though highly encourage their patients to forego them entirely. according to state of obesity more than 29 million americans have diabetes with another 86 million bordering on pre diabetic condition. health groups have predicted that by year 2050 one in three u.s. adults will have diabetes. metabolic condition and its associated symptoms is seventh leading cause of death and costs our country around 245 billion in medical costs and lost productivity each year.,
821052,1,https://www.naturalnews.com/2018-01-15-diabetes-can-be-reversed-according-to-groundbreaking-study.html,2018-01-15T22:20:32.000Z,naturalnews.com,25,medical establishment is finally accepting it diabetes can be reversed according to groundbreaking study. ,natural news there is plenty that pharmaceutical industry does nt want you to know and one of those inconvenient truths just got huge credibility boost and renewed attention as new study shows that it is possible to reverse type 2 diabetes through weight management alone. groundbreaking study that was published in lancet shows just how effective weight management can be when it comes to treating this disease. in open label and cluster randomized study nearly 300 patients who had received diagnosis of type 2 diabetes within past six years were studied. participants were anywhere from age 20 to 65 and they had starting body mass index values in range of 27 to 45 kg m2. after being randomized into one of two groups participants either went through counterweight plus program to lose weight or received best practice care as part of control group. those in counterweight plus program were given diet that was very low in calories for anywhere from three to five months they ate around 850 calories day. this was followed by food reintroduction program that ran from two to eight weeks. people in this group stopped taking antidiabetic medications as well as those that lower blood pressure at start of trial. within year half of participants could no longer be considered diabetic and no longer needed their medication. roughly one fourth of participants had lost 15 kilograms or more of weight and around half maintained weight loss of more than 10 kilos. eighty six percent of those who lost 15 kilos achieved remission while 73 percent of those who lost at least 10 kilos also managed to reverse their diabetes. best of all effective weight management program did not require any type of specialist treatment routine primary care staff were able to guide patients through it. university of newcastles professor roy taylor co lead researcher of study called it watershed moment for understanding and managing type 2 diabetes. its remarkable when you consider fact that even those who had been living with disease for as long as six years were able to reverse it simply by cutting their caloric intake. such approach could also bring about tremendous health care savings with power to save estimated 14 billion in u.k. alone thanks to reduced need for blood pressure medication amputations and treatments for diabetes related blindness and kidney failure. diabetes and prediabetes are estimated to cost 322 billion in u.s. according to figures from american diabetes association and it affects one out of every 11 americans. researchers decided to take calorie cutting approach to weight loss instead of increasing participants exercise because they felt it would be more effective. physical activity while very important in long run can cause patients to eat more both consciously and unconsciously to compensate in beginning making it more difficult for them to achieve sustainable weight loss. however researchers say that exercise could be useful for avoiding regaining weight. good news for diabetics bad news for big pharma and junk food industry of course big pharma wo nt be too thrilled that more people are learning that they might not need their dangerous diabetes drugs and insulin after all. its also bad news for junk food industry as researchers were quick to point out. according to studys conclusion true long tern solution to obesity and diabetes epidemics facing our world is eating less not drugs. taylor wrote major barrier is political will in opposing wishes of food industry. to make impact upon enormous pressure on people to eat and to eat frequently will be difficult but must be tackled to deal with underlying problem.,
262965,1,http://beforeitsnews.com/alternative/2017/01/splenda-found-to-have-diabetes-promoting-effects-3469651.html,2017-01-29T18:30:57.000Z,beforeitsnews.com,25,splenda found to have diabetes promoting effects alternative before it 's news. ,promoted for decades as safe sugar alternative presumably to prevent or reduce symptoms of diabetes splenda sucralose has been found to have diabetes promoting effects in human subjects. artificial sweetener sucralose which is approximately 600 times sweeter than sucrose table sugar and marketed under variety of brand names such as splenda cukren nevella and sucraplus has recently been found to have diabetes promoting effects in human test subjects despite containing no calories and being classified as nonutritive sweetener. study published in journal diabetes care lead by researchers at center for human nutrition washington university school of medicine st. louis missouri set out to test metabolic effects of sucralose in obese subjects who did not use nonnutritive sweeteners. seventeen subjects underwent 5-hour oral glucose tolerance test on two separate occasions preceded by consuming either sucralose experimental condition or water control condition 10 min before glucose load in randomized crossover design. results were reported as follows in other words single dose of sucralose lead to .6 mmol l increase in plasma glucose concentrations 20 increase in insulin levels 22 greater peak insulin secretion rate and 7 decrease in insulin clearance indication of decreased insulin sensitivity. despite fact that preapproval research on sucralose found wide range of adverse health effects in exposed animals see bitter truth about splenda national and international food safety regulatory bodies including fda now consider it completely safe for daily human consumption. same applies for synthetic sweeteners like aspartame which despite its well known link with brain damage and over 40 documented adverse health effects is safety approved in 90 nations. industry influence largely accounts for fact that synthetic chemicals like aspartame neotame saccharin and sucralose are being foisted onto public as safe non calorie sweeteners despite obvious research to contrary and fact that stevia non calorie natural alternative has over 1500 years of documented safe use. american diabetes association ada for instance does nothing to hide its explicit partnership with mcneil nutritionals maker of splenda despite obvious conflict of interest. on its website ada describes mcneil nutritionals as national strategic partner and lauds them as committed to helping people and their families with diabetes by focusing on overall nutritional needs of diabetes community. mcneil nutritionals sponsors adas recipe of day along with variety of educational tools and information for consumers and healthcare professionals. despite these cozy relationships research on sucraloses adverse health effects continues to accumulate. some of more recent research on chemical indicate that it may contribute to following health and environmental problems none inflammatory bowel disease researcher from umdnj new jersey medical school newark nj proposes that sucralose may be causing global increase in cases of ibs including both ulcerative colitis and crohns disease. researcher from umdnj new jersey medical school newark nj proposes that sucralose may be causing global increase in cases of ibs including both ulcerative colitis and crohns disease. i in article titled what made canada become country with highest incidence of inflammatory bowel disease could sucralose be culprit. author xiaofa qin describes how canada which once had one of lowest rates of ibs in world attained highest levels after being first country in world to approve use of sucralose in thousands of consumer products in 1991. ii none harms gut flora and gastrointestinal health 2008 study found that administration of sucralose to rats at dose far below us fda acceptable daily intake level resulted in 1 decrease in numbers of wide range of beneficial gut bacteria. 2 increase in fecal ph. 3 enhanced expression levels of p gp cyp3a4 and cyp2d1 which are known to limit bioavailability of orally administered drugs. 2008 study found that administration of sucralose to rats at dose far below us fda acceptable daily intake level resulted in 1 decrease in numbers of wide range of beneficial gut bacteria. 2 increase in fecal ph. 3 enhanced expression levels of p gp cyp3a4 and cyp2d1 which are known to limit bioavailability of orally administered drugs. iii none migraines report was published in journal headache in 2006 indicating that physicians should be mindful of possibility that sucralose can trigger migraines. report was published in journal headache in 2006 indicating that physicians should be mindful of possibility that sucralose can trigger migraines. iv none environmental persistence like many persistent organic pollutants in pesticide category sucralose is exceptionally resistant to degradation both through environmental processes microbial degradation hydrolysis soil sorption and advanced treatment processes chlorination ozonation sorption to activated carbon and uv radiation. sucralose after all was discovered accidentally by pesticide researchers and is chemically related to ddt chlorinated hydrocarbon. some researchers now consider it ideal tracer of anthropogenic activity which is true also of lethal radioisotopes such as uranium 238 and plutonium 239 due to their resistance to degradation. like many persistent organic pollutants in pesticide category sucralose is exceptionally resistant to degradation both through environmental processes microbial degradation hydrolysis soil sorption and advanced treatment processes chlorination ozonation sorption to activated carbon and uv radiation. sucralose after all was discovered accidentally by pesticide researchers and is chemically related to ddt chlorinated hydrocarbon. some researchers now consider it ideal tracer of anthropogenic activity which is true also of lethal radioisotopes such as uranium 238 and plutonium 239 due to their resistance to degradation. v indeed recent research found that sucralose has low rate of removal 11 in drinking water tested that presently serves 28 million people. vi none environmental toxicity sucralose was recently found to alter physiological and behavioral status of crustaceans leading researchers to warn that chemical will likely have wider ecological consequences. sucralose was recently found to alter physiological and behavioral status of crustaceans leading researchers to warn that chemical will likely have wider ecological consequences. vii.,promoted for decades as safe sugar alternative presumably to prevent or reduce symptoms of diabetes splenda sucralose .... 
247661,1,http://www.naturalnews.com/2017-01-21-sugar-industry-promotes-obesity-diabetes-heart-disease-and-cancer.html,2017-01-21T10:56:43.000Z,naturalnews.com,24,sugar industry promotes obesity diabetes and heart disease. ,natural news big sugar first began its campaign against reality in 1956 shortly after president eisenhower was photographed putting artificial sweeteners in his coffee. president said his doctor advised he stop putting sugar in his coffee if he wanted to stay thin. in response sugar industry created advertisements that maintained no singular food is fattening and so mantra was born calorie is calorie. ads declared that there was no difference between calories from steak or sugar. there is degree of truth to that if you were to eat surplus of calories daily for sustained period of time you would gain weight even if all you were eating was steak or vegetables. calories are at their core unit of energy. however what those calories are comprised of can have very different effects on your body. related learn more about harmful food ingredients at ingredients.news what actually happens when you eat sugar so when you eat sucrose also known as table sugar your digestive tract breaks it down into fructose and glucose. it is then transported directly to liver via portal vein. fructose and high fructose corn syrup are especially problematic for body your liver will keep absorbing fructose even when its energy stores are full. this leads to fat deposits in liver and more fat circulating in your bloodstream which raises triglycerides and cholesterol and in turn raises risk for conditions like heart disease and type-2 diabetes. liver fat may also decrease insulins ability to do its job which increases risk of diabetes. and when insulin is nt working well amount of fat liver sends out into blood also increases. it creates rather vicious cycle where more sugar you eat sicker you become and less capable your body is of recovering from it. countless studies have pointed to sugar intake as means of developing insulin resistance. for example 2007 study that was published in journal of biological chemistry found that sucrose sweetened water induced insulin resistance exacerbated memory deficits and increased amyloid plaque formation in mice with alzheimers disease. team noted that their research indicated that dietary sugar plays plausible role in development of alzheimers. another study found that feeding sucrose to normal healthy rats caused significant loss of insulin sensitivity. and you can bet there are more decades of research have shown that sugar can and is harmful. as new york times reports by 1960s researchers in these fields had clearly demonstrated that different carbohydrates like glucose and fructose are metabolized differently leading to different hormonal and physiological responses and that fat accumulation and metabolism were influenced profoundly by these hormones. in spite of understood biological processes involved that clearly demonstrate at least one pathway for sugar to cause insulin resistance and other health issues industry and even american diabetes association ada are clutching their pearls of denial closer than ever. 2014 article from ada even went so far as to declare that there is no evidence to suggest that any dietary or added sugar has unique or detrimental impact relative to any other source of calories on development of obesity or diabetes. this sentiment is echoed throughout nutrition industry calorie is calorie. and yet actual biology dictates that this sentiment is fallacy. research links sugar consumption to everything from to obesity diabetes heart disease cancer and even alzheimers disease. this is not new and research has been going on for decades. but there is always someone you can pay off. in 1970s fred stare founder of harvard school of public health was paid off by sugar industry to sing praises of sugar and absolve substance of its health crimes in lengthy journal supplement. in 2016 it was revealed that last five decades of research on sugar have largely been influenced by you guessed it sugar industry. internal documents revealed that industry big wigs were paying off scientists to play down ill effects of sugar all way back in 1967. food industrys hold over nutrition science continues to persist to this day preventing real research from being conducted and encouraging consumption of substance they know is harmful.,
18812,1,http://beforeitsnews.com/alternative/2016/11/moringa-natural-cancer-killer-and-anti-diabetes-herb-3444350.html,2016-11-29T16:01:24.000Z,beforeitsnews.com,20,moringa natural cancer killer and anti diabetes herb alternative before it 's news. ,of readers think this story is fact. add your two cents. if you are looking for good health disease free life more energy and longevity you should think of returning to nature. moringa oleifera is plant that grows widely in south asia and has been part of traditional medicine for thousands of years. plant is commonly known as drumstick and is powerhouse of bioactive plant compounds and antioxidants. many of its health benefits have been confirmed by scientific community but it is believed that many more are still to be studied and discovered. we bring you 7 reasons why you should add both leaves and fruits pods of this unique plant to your diet. both leaves and pods of drumstick plant are rich sources of so many types of vitamins and minerals. in fact its leaves are packed with more nutrients than pods. despite this just 1 cup of fresh pods supply up to 157 of your rda of vitamin c. just 1 cup of fresh leaves offer following nutrients dried leaves of drumstick are available as dietary supplements in west. but it will be best to grow plant in your home to enjoy its natural benefits. consuming moringa oleifera can help improve your bone density. it is packed with iron and calcium which helps in not only preventing bone density loss but it also strengthens your bones. you should especially give it to growing kids for stronger and better bone growth. it also helps boost your physical stamina. as already mentioned drumsticks have high amounts of antioxidants that fight harmful free radicals. they further help prevent carcinogen formation. beta carotene and vitamin c are two examples. but this plant also has powerful antioxidants called chlorogenic acid and quercetin. they act by negating free radical activity in your body. you can also use plants root to get relief from headache. take its roots and extract its juice. mix juice and jaggery in equal amounts and take it. you will get almost immediate relief from ache. drumstick plant can also address many eye problems including conjunctivitis. take some leaves grind them and apply paste on your eyes. if you mix leaves juice with honey and apply as eyeliner it will help cure corneal disorders. same treatment can also help improve eye swelling. if you are diabetic and ca nt keep your blood sugar levels under control moringa oleifera can be natural way to manage your diabetes. if your blood sugar levels remain uncontrollable for long time it can increase risk of so many types of health conditions including heart disease. many studies show that using drumstick plant has positive benefits in lowering blood sugar levels. most of these studies are conducted on animal subjects. there are however some studies based on human subjects too. according to one study involving 30 women who were given 7 g of leaf powder daily for 3 months subjects had their blood sugar levels reduced by 13.5. moringa pods and leaves are both great foods when it comes to purifying blood. you can enjoy it soup which has been shown to help fight acne and other skin problems. moringa juice can be applied on your acne or pimples and it will heal area fast. juice also has antibiotic properties. high levels of vitamin in plant help in inhibiting natural process of aging. it also helps strengthen your immune system and improve vision. most people do nt know much about moringa. add this natural food to your diet and you will notice dramatic changes in your health.,by secret nutritionsif you are looking for good health disease free life more energy and longevity you should think of returning to .... 
261272,1,http://www.naturalnews.com/2017-01-28-after-decades-of-pushing-low-fat-quackery-scientists-now-admit-cheese-and-cream-are-good-for-your-heart-can-help-prevent-diabetes.html,2017-01-28T11:18:01.000Z,naturalnews.com,17,after decades of pushing low fat quackery scientists now admit cheese and cream are good for your heart can help prevent diabetes. ,natural news foods high in saturated fat such as cheese and cream may actually improve health and reduce risk of obesity heart disease and diabetes according to study conducted by researchers from university of bergen norway and published in american journal of clinical nutrition. findings contradict previously held wisdom that diet high in saturated fat increases risk of obesity and metabolic diseases but are in keeping with more recent research on topic. related learn more about health impacts of food ingredients at ingredients.news there is tremendous focus on avoiding high fat foods for weight control but this study challenges notion that saturated fats have strongly negative impact on health and weight researcher simon dankel said. men on high fat diet not only lost weight but also became slimmer and had lower cholesterol levels. study was conducted on 38 men with abdominal obesity who were assigned to follow diet either rich in fat or in mostly unrefined carbohydrates. researchers measured participants cardiovascular risk factors along with fat around abdomen liver and heart. both diets contained similar amounts of calories protein and polyunsaturated fats from vegetable oils other than olive oil. both diets were very low in refined sugar. fats in study came mostly from minimally processed sources such as cheese cream butter and coconut oil. neither diet contained highly refined oils margarine or trans fats. power of elements discover colloidal silver mouthwash with quality natural ingredients like sangre de drago sap black walnut hulls menthol crystals and more. zero artificial sweeteners colors or alcohol. learn more at health ranger store and help support this news site. men in both groups lost weight and showed dramatic reductions in risk factors for cardiovascular disease type 2 diabetes and cancer. this contradicts official dietary advice which predicts that unrefined carbohydrate group would show health improvements whereas health of high fat group would worsen. very high intake of total and saturated fat did not increase calculated risk of cardiovascular diseases researcher ottar nygrd said. specifically men in high fat group saw reductions in their blood pressure insulin blood glucose blood lipids and ectopic fat storage. all improvements were seen even in men who increased their total calorie intake. findings suggest that nutrition science may have been missing point in its focus on individual nutrients researchers said. our findings indicate that overriding principle of healthy diet is not quantity of fat or carbohydrates but quality of foods we eat said researcher johnny laupsa borge. scientists emphasized that mens health improved because they were eating good diet made up of real unprocessed foods. its possiblebut would need to be confirmedthat prior studies found that saturated fat was bad for health because they were studying people with unhealthy diet overall. we here looked at effects of total and saturated fat in context of healthy diet rich in fresh lowly processed and nutritious foods including high amounts of vegetables and rice instead of flour based products researcher vivian veum said. fat sources were also lowly processed mainly butter cream and cold pressed oils. also contradicting conventional nutritional wisdom there was no increase in levels of ldl bad cholesterol among those on high fat diet. levels of hdl good cholesterol did increase. these results indicate that most healthy people probably tolerate high intake of saturated fat well as long as fat quality is good and total energy intake is not too high. it may even be healthy ottar nygrd said. number of studies in recent years have begun to undermine previous consensus on saturated fat. national institutes of health study published in british medical journal in early 2016 showed that people who replaced saturated fat with polyunsaturated fat showed no change in heart disease risk. this echoed findings of 2015 british medical journal review into 50 studies into connection between saturated fat trans fats and health outcomes. that study showed no evidence that saturated fats were bad for health. in contrast it showed overwhelming evidence that trans fats industrially manufactured product are highly dangerous. read more news about scientific studies at scientific.news.,
1181137,1,https://www.naturalnews.com/2018-12-01-planned-intermittent-fasting-can-reverse-type-2-diabetes-suggest-doctors.html,2018-12-01T10:12:33.000Z,naturalnews.com,16,planned intermittent fasting can reverse type 2 diabetes suggest doctors.,natural news intermittent fasting is quickly becoming one of most popular diet protocols around. while there are many different ways to fast proponents of intermittent fasting if say that this new method for eating helps support weight loss efforts and comes with array of health benefits. recently published study has further confirmed that if can be very beneficial particularly for people with type 2 diabetes. in united states its estimated that roughly one in ten people has type 2 diabetes. experts have posited that condition costs u.s. economy 245 billion annually. current treatments like bariatric surgery and medication leave much to be desired. surgery is inherently risky and while medications for diabetes seem to help manage symptoms they fail to stop disease progression over long term. diabetes is considered progressive disease and it is common for patients to be prescribed multiple different drugs including insulin. but preliminary study published in bmj case reports has shown that planned if can so be effective in management of diabetes condition can actually be reversed. team of doctors recently published case study in which three diabetic men between 40 and 67 years of age tried using planned if to assist in managing their symptoms. all were using assortment of drugs and daily insulin to treat their condition at studys onset. men had been diagnosed with hypertension and high cholesterol in addition to their type 2 diabetes diagnoses. before beginning their if journey all three men went to six hour nutritional seminar and were educated on on rang of topics including therapeutic fasting and nutritional management of diabetes. two of men fasted on alternate days for full 24 hours while third fasted for three days week. on fast days they were allowed to drink very low calorie drinks such as tea coffee water or broth and to eat one very low calorie meal in evening press release from science daily explains. fasting blood glucose average blood glucose hba1c weight and waist circumference were measured before study began and again at its conclusion. for ten months study participants engaged in planned if style of eating. in just first five days one of men was able to stop taking insulin. and within first month all three men were off insulin injections completely. two of men were able to stop taking all their other diabetic drugs while third discontinued three out of four drugs he was taking. they all lost weight 10 18 percnet as well as reduced their fasting and average blood glucose readings which may help lower risk of future complications science daily reports. men also reported that if diet was easy to stick to without much complication. while small size and observational nature of this study mean its conclusions are nt exactly firm it is certainly inspiring. intermittent fasting has been associated with array of health benefits in past including improvements in insulin sensitivity and lower insulin levels. research has also shown that if is associated with improved health of heart and brain. though more research on if as treatment for type 2 diabetes is needed findings of this case study fall right in line with previous data. it seems as though if could be next big thing in diabetes management and as science shows how you eat is one of biggest drivers of health and disease. learn more about alternative approaches to health at alternativemedicine.news.,
229653,1,http://www.naturalnews.com/2017-01-11-stop-diabetes-discover-the-underlying-causes-and-solutions.html,2017-01-11T22:05:21.000Z,naturalnews.com,14,stop diabetes discover underlying causes and solutions. ,natural news chronic blood sugar imbalances generated by diabetes disease which affects 29.1 million americans can trigger serious and even life threatening conditions such as blindness neuropathy kidney damage heart disease stroke and cancer. western medicine with its woefully inadequate nutritional advice and toxic drug therapies fail to properly address situation. but integrative medicine offers better way. discover natural perfectly safe way to eliminate threat of diabetes even if you suffer with type 1 diabetes you can overcome this dreadful condition. on next naturalnews talk hour jonathan landsman and dr. jody stanislaw naturopathic physician and certified diabetes educator will focus their attention on helping people with type 1 and type 2 diabetes lead happier healthier lives by outlining plan of action that addresses physical emotional and mental components of diabetes. to hear this free show visit http://www.naturalhealth365.com/free-shows and enter your email address for show details plus some great gifts. learn four pillars of diabetes management that can change your life more often than not mainstream medicines traditional approach to diabetes has involved tedious and ineffective count and cover method of managing diabetes in which strict dosages of insulin are calibrated to counter exact amounts of food. dr. stanislaw who has lived with type 1 diabetes since age of seven takes different approach. in addition to consulting with patients to help them find their ideal individualized dosages dr. stanislaw also offers what she calls four pillars of managing diabetes to achieve optimal health. sponsored solution from cwc labs this heavy metals test kit allows you to test almost anything for 20 heavy metals and nutritive minerals including lead mercury arsenic cadmium aluminum and more. you can test your own hair vitamins well water garden soil superfoods pet hair beverages and other samples no blood or urine. iso accredited laboratory using icp ms mass spec analysis with parts per billion sensitivity. learn more here. through diet and lifestyle insights diabetics learn how to stabilize their own blood sugar levels which dramatically improve overall energy levels and emotional well being. keep in mind blood sugar imbalances affect all aspects of our life sleep energy attitude and personal relationships. all of this can improve with right plan looking to reverse symptoms of diabetes. do nt miss next naturalnews talk hour with jonathan landsman. to hear this free show visit http://www.naturalhealth365.com/free-shows and enter your email address for show details plus some great gifts. dr stanislaw advises organic low carb diet based mainly on high quality protein such as free range chicken grass fed beef and wild caught salmon along with abundance of vegetables and healthy fats such as avocados nuts seeds and coconut and olive oils. can vegetarian overcome diabetes diagnosis. yes you just need to make smart food and lifestyle choices join us for special program where you ll discover how to lower your a1c score even if you have type 1 diabetes 8 essentials to holistic diabetes care 4 biggest contributors to type 2 diabetes plus comprehensive outline for overcoming diabetes. do nt miss this important show. this weeks guest dr. jody stanislaw nd cde naturopathic doctor and diabetes specialist discover all natural holistic approach to eliminating threat of diabetes sun. jan. 15 missed show. all show recordings are available inside naturalhealth365 inner circle click here to subscribe today. dr. jody stanislaw received her doctorate degree in naturopathic medicine in 2007 from bastyr university one of premier schools of holistic medicine in country. sought after speaker and author she is also certified diabetes educator and is considered leading expert in helping patients achieve optimal glucose control. as holistic doctor and educator she focuses on helping her patients achieve vibrant health while living meaningful joyous lives.,
1239042,1,https://www.naturalnews.com/2019-01-29-magnesium-can-reduce-your-risk-of-type-2-diabetes.html,2019-01-29T23:03:58.000Z,naturalnews.com,13,magnesium can reduce your risk of type 2 diabetes by 23 %.,natural news type 2 diabetes occurs when your body develops resistance to insulin that your body produces. this impairs insulins ability to remove sugar from your blood and transfer it into your cells to be converted into energy. research has found that deficiency in magnesium is linked to heightened risk of developing type 2 diabetes. alternatively research has also found that high magnesium intake could reduce your risk of type 2 diabetes. aside from not getting enough magnesium other risk factors that may lead to type 2 diabetes include living sedentary lifestyle being obese or overweight and having other existing health conditions such as hypertension. it is possible to either help treat or prevent type 2 diabetes by making healthier lifestyle changes and by eating certain foods or taking certain supplements that can increase your bodys sensitivity to insulin. how magnesium can lower your risk of type 2 diabetes magnesium is fourth most abundant mineral in human body which also plays key roles in your overall brain and body health. if you do nt get enough magnesium in your body your health will begin to suffer. without enough of it you can have increased risk of developing all sort of health problems including coronary heart disease sudden cardiac death and type 2 diabetes. related importance of magnesium in prevention and treatment of type 2 diabetes. researchers have found that supplementing with magnesium can improve your bodys sensitivity to insulin while simultaneously reducing its resistance to insulin. it can even improve levels of plasma fasting glucose in people both with and without diabetes. since insulin can more effectively regulate your blood sugar this decreases your overall risk of diabetes. according to research high magnesium intake was found to be linked to 23 percent reduction in risk of developing diabetes compared to low magnesium intake. in one study researchers observed 4.000 participants over course of 20 years. they found that participant who had highest intake of magnesium were 47 percent less likely to develop diabetes. magnesium can provide so many health benefits that maintaining healthy levels of this essential mineral in your body can go long way in improving number of health conditions. here are some of health benefits you can receive when you consume regular doses of magnesium magnesium promotes heart health. deficiency in magnesium can increase your risk of sudden cardiac death. according to study that was published in journal of american heart association link was found between higher magnesium intake and reduced risk of coronary heart disease and sudden cardiac death. additionally magnesium can help lower levels of high blood pressure in people with elevated blood pressure levels. magnesium can help fight depression. since magnesium plays important role in your mood and brain function inadequate levels of magnesium may lead to increased risk of depression. while more research may still be required to verify this many experts believe that low levels of magnesium in typical modern food diet may cause cases of depression and mental illness. magnesium can reduce inflammation. magnesium can provide anti inflammatory benefits to your body. alternatively low intake of magnesium has been linked to chronic inflammation. learn more about treatment and prevention of diabetes by going to diabetessciencenews.com.,
803370,1,http://www.wnd.com/2018/01/diabetes-drug-could-be-used-to-treat-alzheimers/?cat_orig=health,2018-01-01T00:00:00.000Z,wnd.com,13,diabetes drug could be used to treat alzheimer 's. ,new york daily news -- drug originally designed to treat diabetes significantly reversed memory loss in mice and has potential for treating alzheimers disease in people according to british scientists. in new study published in journal brain research lab rodents with age- and alzheimers related brain deterioration were given triple receptor drug that protects brain cells in three ways. animals were then put through maze to test their memory. mice given drug showed memory improvement and reduced plaque buildup in brain telltale sign of alzheimers. mice also showed improvement in terms of inflammation and cellular health of brain. ,
